image,Unnamed: 1
data/processed/processed_1.png,بیرون ملک مقیم پاکستانیوں کی بہبود کیلئے جاری منصوبوں میں مزید تیزی لائی جائے، وزیر اعظم
data/processed/processed_2.png,نجکاری کمیشن نے فیسکو اور گیپکو کے لیے اظہار دلچسپی جمع کرانے کی تاریخ میں توسیع کر دی
data/processed/processed_3.png,رولیکس نے 1940 کی دہائی میں 'رولیکس 4113' ماڈل کی صرف 12 گھڑیاں ہی بنائی تھیں جن میں سےاب صرف 9 گھڑیاں ہی دنیا میں
data/processed/processed_4.png,ایپل نے آئی فون رکھنے کے لیے 42 ہزار روپے کی قیمت کی جرابیں متعارف کروادیں
data/processed/processed_5.png,پی ایس ایل کی تاریخ کی سب سے بڑی بولی،
data/processed/processed_6.png,بنگلہ دیش نے آئی پی ایل کی نشریات پر پابندی لگادی
data/processed/processed_7.png,بھارت بنگلہ دیش کشیدگی
data/processed/processed_8.png,وفاقی کابینہ نے پیٹرول ڈیلرز اور آئل مارکیٹنگ کمپنیوں کے منافع میں اضافے کی منظوری روک دی
data/processed/processed_9.png,سونے اور چاندی کی قیمتوں میں اچانک بڑی کمی
data/processed/processed_10.png,پاکستانی معیشت پائیدار و طویل مدتی ترقی کی پوزیشن پر آ رہی ہے، وزیر خزانہ
data/processed/processed_11.png,انٹرنیشنل فنانس کارپوریشن کا پاکستان میں پہلی مقامی کرنسی سرمایہ کاری کا اعلان
data/processed/processed_12.png,پی آئی اے کی نیلامی کل ہوگی، فوجی فرٹیلائزر دستبردار، تین بولی دہندگان میدان میں باقی
data/processed/processed_13.png,کشمیر کی وادی ہماری ہے' چین نے شکسگام پر بھارتی دعویٰ مسترد کر دیا
data/processed/processed_14.png,شوگر انڈسٹری کو ڈی ریگولیٹ کرنے کے لیے پالیسی ڈرافٹ تیار
data/processed/processed_15.png,پاکستان اور انڈیا کے درمیان 'ٹریک ٹو سفارتکاری' اور شہباز، مودی کے نام خط: اب تک کیا ہوا؟
data/processed/processed_16.png,پاکستانی اور انڈین شخصیات کے درمیان ٹریک ٹو ملاقاتوں اور وزرائے اعظم کو لکھے گئے خط کے حوالے سے
data/processed/processed_17.png,اجے دیوگن کی فلم ’چوہان‘ کا ٹریلر اور کشمیریوں کے ہرے ہوتے زخم:
data/processed/processed_18.png,بلوچستان میں اہلیہ اور بیٹیوں کے سامنے کراچی کے تاجر کا قتل: ’اگر جانیں
data/processed/processed_19.png,بیرون ملک سے 15 پر کال اور ’دو
data/processed/processed_20.png,ایف آئی آر میں کیا لکھا ہے؟
data/processed/processed_21.png,ترجمان پاکستانی دفتر خارجہ نے ان ملاقاتوں کی تصدیق یا تردید نہیں کی
data/processed/processed_22.png,امریکا کے ایران پر مسلسل چھٹی رات فضائی حملے، 5 پل تباہ، 7 افراد شہید
data/processed/processed_23.png,بکتر بند گاڑی گومل پولیس اسٹیشن سے ٹانک جا رہی تھی کہ راستے
data/processed/processed_24.png,کویت میں دھماکوں کی آوازیں سنی گئیں، ایران نے امریکی اڈے پر حملہ کیا ہے، روسی میڈیا
data/processed/processed_25.png,’آبنائے ہرمز کے بحران سے عالمی توانائی کی سلامتی کو خطرہ ہے
data/processed/processed_26.png,استنبول سے اسلام آباد کی فلائٹ کو فضا میں شدید۔۔۔
data/processed/processed_27.png,عامر خان نے سونم وانگ چک کی بھوک ہڑتال پر خاموشی توڑ دی
data/processed/processed_28.png,کھیلوں کی خبریں
data/processed/processed_29.png,کیا روہت شرما کا انگلینڈ سیریز کا آئندہ میچ آخری ون ڈے ہو گا؟
data/processed/processed_30.png,کیا وہم کے باعث صدر ارجنٹینا ورلڈ کپ فائنل میں شرکت نہیں کرینگے؟
data/processed/processed_31.png,بین الاقوامی خبریں
data/processed/processed_32.png,وینس نے کشنر و وٹکوف سے متعلق ایرانی انتہا پسندانہ رپورٹ مسترد کر دی
data/processed/processed_33.png,سال بعد بچھڑی بیٹی ماں سے مل گئی، جذباتی ملاقات نے سب کو رلا دیا
data/processed/processed_34.png,ایران نے مذاکرات کے لیے رابطہ کیا ہے
data/processed/processed_35.png,آج کا اخبار
data/processed/processed_36.png,انڈیا کے جوہری پاور پلانٹ کا ڈیٹا لیک: کیا یہ تفصیلات کسی خطرے کا سبب بن سکتی
data/processed/processed_37.png,پانچ کروڑ ڈالر میں فروخت ہونے والا
data/processed/processed_38.png,اہم خبریں
data/processed/processed_39.png,سرین حبشیان بی بی سی نیوز
data/processed/processed_40.png,ان کا مزید کہنا تھا کہ ’طویل المدتی صحت کا خیال
data/processed/processed_41.png,سب سے زیادہ پڑھی جانے والی
data/processed/processed_42.png,’میسی اس کھیل کے بادشاہ ہیں
data/processed/processed_43.png,پانچ کروڑ ڈالر میں فروخت ہونے والا دنیا کا سب سے
data/processed/processed_44.png,دہلی میں 19 دن سے جاری بھوک ہڑتال کے بعد سونم وانگچک کی حالت تشویشناک
data/processed/processed_45.png,ملک میں شدید سردی کی افواہوں کی تردید
data/processed/processed_46.png,ایران اب بھی معاہدہ کرنا چاہتا ہے، ہم اس سے بات چیت کر رہے ہیں: وائٹ ہاؤس کا دعویٰ
data/processed/processed_47.png,پاکستانی مسافروں کیلئے بڑی خبر
data/processed/processed_48.png,’کشمیر کی وادی ہماری ہے‘ چین نے شکسگام پر بھارتی دعویٰ مسترد کر دیا
data/processed/processed_49.png,چین اور پاکستان نے 60 کی دہائی میں سرحدی معاہدے
data/processed/processed_50.png,ٹی ایل پی سربراہ سعد رضوی اور ان کے بھائی کی گمشدگی کا معما برقرار
data/processed/processed_51.png,دونوں رہنما 3 ماہ سے غائب ہیں، قانون
